2026-01-30 21:47:36,006 - bridge - INFO - Starting Bridge on 192.168.1.18
2026-01-30 21:47:36,022 - bridge.core.speaker_manager - INFO - Connected to speaker at 192.168.1.101
2026-01-30 21:47:36,023 - bridge.core.speaker_manager - INFO - Connected to speaker at 192.168.1.102
2026-01-30 21:47:36,025 - bridge.core.dlna_server - INFO - DLNA Server started on port 32488
2026-01-30 21:47:36,025 - bridge.core.ssdp - INFO - SSDP bound to interface 192.168.1.18
2026-01-30 21:47:36,025 - bridge.core.ssdp - INFO - SSDP Responder started on 239.255.255.250:1900
2026-01-30 21:47:36,026 - bridge - INFO - Bridge is fully operational
2026-01-30 21:47:36,026 - bridge.core.ssdp - DEBUG - Sending periodic SSDP NOTIFY
2026-01-30 21:47:36,804 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 48568)
2026-01-30 21:47:36,805 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('172.17.0.1', 39046)
2026-01-30 21:47:36,807 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('172.18.0.1', 35152)
2026-01-30 21:47:36,807 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('172.19.0.1', 59318)
2026-01-30 21:47:37,274 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('172.19.0.1', 10328)
2026-01-30 21:47:37,275 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('172.19.0.1', 10328)
2026-01-30 21:47:40,414 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 39842)
2026-01-30 21:47:43,618 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 41397)
2026-01-30 21:47:46,823 - bridge.core.ssdp - DEBUG - Responding to M-SEARCH from ('192.168.1.18', 34066)
